"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BH1750","1","light sensor","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"C1,C2","2","0.1μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","10μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"DFRobot_SEN0161-V2","1","pH sensor","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"DFRobot_SEN0193","1","moisture sensor","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"M1","1","Stepper_Motor_bipolar","","","","514final_Library:x27_stepper","http://www.infineon.com/dgdl/Application-Note-TLE8110EE_driving_UniPolarStepperMotor_V1.1.pdf?fileId=db3a30431be39b97011be5d0aa0a00b0"
"R1,R2","2","4.7kΩ","","","","Capacitor_SMD:C_0805_2012Metric","~"
"R3,R4","2","330Ω","","","","Capacitor_SMD:C_0805_2012Metric","~"
"SW1,SW2","2","SW_SPST","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1,U2","2","~","","","","514final_Library:XIAO_ESP32",""
